City_ID,City,Cloudiness(%),Country,Date,Humidity(%),Latitude,Longitude,Max Temp(F),Wind Speed(mph)
0,bodden town,40,KY,1613174544,69,19.28,-81.25,80.6,12.66
1,khatanga,93,RU,1613174483,86,71.97,102.5,-25.91,7.47
2,rikitea,37,PF,1613174486,70,-23.12,-134.97,80.56,9.15
3,ponta do sol,15,PT,1613174476,86,32.67,-17.1,55.99,5.99
4,hobart,75,AU,1613174377,48,-42.88,147.33,66.0,9.22
5,bambanglipuro,98,ID,1613174533,86,-7.95,110.28,77.13,3.4
6,busselton,0,AU,1613174466,75,-33.65,115.33,64.99,1.99
7,olafsvik,88,IS,1613174048,73,64.89,-23.71,39.6,26.64
8,yerbogachen,19,RU,1613174243,85,61.28,108.01,-29.16,3.38
9,bisert,99,RU,1613174546,96,56.86,59.05,17.6,5.21
10,nikolskoye,75,RU,1613174053,77,59.7,30.79,3.0,2.24
11,mataura,78,NZ,1613174465,60,-46.19,168.86,66.99,7.0
12,nara,0,JP,1613174357,81,34.69,135.8,53.01,2.3
13,kathu,20,TH,1613174543,88,7.92,98.33,82.99,4.61
14,saldanha,0,ZA,1613174539,82,-33.01,17.94,64.4,9.22
15,yarim,9,YE,1613174547,48,14.3,44.38,49.57,2.04
16,port alfred,62,ZA,1613174504,95,-33.59,26.89,73.99,4.0
17,dikson,88,RU,1613174547,87,73.51,80.55,-25.76,11.1
18,punta arenas,0,CL,1613174467,47,-53.15,-70.92,57.2,24.16
19,souillac,40,MU,1613174049,83,-20.52,57.52,77.0,14.97
20,tiksi,39,RU,1613173966,91,71.69,128.87,-11.18,1.88
21,butaritari,29,KI,1613173978,83,3.07,172.79,81.21,12.15
22,salinopolis,100,BR,1613174247,87,-0.61,-47.36,79.0,11.77
23,kapaa,20,US,1613174480,57,22.08,-159.32,77.0,9.22
24,dakar,0,SN,1613174322,77,14.69,-17.44,66.2,11.5
25,ushuaia,75,AR,1613174405,41,-54.8,-68.3,59.0,12.66
26,awallan,63,PH,1613174549,77,17.92,121.91,72.73,1.41
27,jalu,0,LY,1613174090,63,29.03,21.55,52.11,7.02
28,acapulco,20,MX,1613174333,69,16.86,-99.89,80.6,12.66
29,doha,0,QA,1613174259,77,25.29,51.53,64.4,8.05
30,san luis,21,AR,1613174550,49,-33.3,-66.34,72.27,2.04
31,qaanaaq,0,GL,1613174505,70,77.48,-69.36,-1.39,4.76
32,puerto cabezas,75,NI,1613174425,83,14.04,-83.39,82.4,4.61
33,cape town,0,ZA,1613174484,88,-33.93,18.42,70.0,6.91
34,aksu,0,CN,1613174083,90,41.12,80.26,28.09,1.34
35,green river,90,US,1613174551,79,41.53,-109.47,15.8,5.75
36,cidreira,100,BR,1613174517,81,-30.18,-50.21,75.33,14.81
37,terrace,75,CA,1613174449,58,54.52,-128.6,19.4,13.8
38,katsuura,20,JP,1613174014,61,35.13,140.3,51.01,5.75
39,nantucket,90,US,1613174335,68,41.28,-70.1,24.01,4.61
40,port elizabeth,75,ZA,1613174534,94,-33.92,25.57,75.2,12.66
41,bethel,90,US,1613174053,33,41.37,-73.41,28.4,4.61
42,lavrentiya,100,RU,1613174552,90,65.58,-171.0,-6.09,20.02
43,olinda,40,BR,1613174080,73,-8.01,-34.86,78.8,10.36
44,roma,1,US,1613174188,48,43.21,-75.46,10.4,1.59
45,talnakh,100,RU,1613173992,85,69.49,88.4,-22.43,1.1
46,ancud,0,CL,1613174030,55,-41.87,-73.82,64.4,8.05
47,balatonalmadi,4,HU,1613174554,52,47.04,18.02,19.0,1.99
48,tuktoyaktuk,75,CA,1613174509,77,69.45,-133.04,-5.8,4.61
49,toktogul,100,KG,1613174554,60,41.87,72.94,39.96,1.52
50,saint-philippe,20,RE,1613174545,69,-21.36,55.77,78.8,14.97
51,brandon,1,US,1613174335,73,27.94,-82.29,75.99,5.3
52,ribeira grande,83,PT,1613174500,78,38.52,-28.7,60.31,28.41
53,dalianwan,90,CN,1613174555,100,39.03,121.69,37.4,6.71
54,cherskiy,0,RU,1613174529,80,68.75,161.3,-22.77,2.13
55,airai,82,TL,1613174535,96,-8.93,125.41,68.23,1.45
56,san jeronimo,98,PE,1613174555,79,-11.95,-75.28,46.6,3.74
57,amod,0,IN,1613174556,29,21.98,72.9,69.62,5.86
58,namibe,46,AO,1613173997,73,-15.2,12.15,73.9,1.5
59,narsaq,75,GL,1613174051,29,60.92,-46.05,44.6,31.07
60,barrow,90,US,1613174482,70,71.29,-156.79,-9.4,8.05
61,amot,0,NO,1613174557,71,59.57,7.99,12.7,5.08
62,provideniya,99,RU,1613174525,89,64.38,-173.3,-0.69,31.29
63,hilo,20,US,1613174482,54,19.73,-155.09,82.4,11.5
64,severo-kurilsk,85,RU,1613174557,95,50.68,156.12,28.54,7.11
65,hithadhoo,100,MV,1613174552,74,-0.6,73.08,82.13,12.03
66,juneau,1,US,1613174455,34,58.3,-134.42,33.8,17.27
67,havre-saint-pierre,90,CA,1613174010,63,50.23,-63.6,21.2,11.5
68,albany,93,US,1613174476,42,42.6,-73.97,16.0,2.91
69,porto novo,40,BJ,1613174244,84,6.5,2.6,84.2,12.66
70,kloulklubed,90,PW,1613174032,89,7.04,134.26,80.6,4.61
71,bredasdorp,3,ZA,1613174493,78,-34.53,20.04,69.8,2.3
72,zyryanskoye,49,RU,1613174163,86,56.83,86.63,-23.06,6.15
73,atasu,97,KZ,1613174085,95,48.68,71.64,18.28,6.26
74,marawi,41,PH,1613174034,89,8.0,124.29,75.99,5.01
75,atuona,4,PF,1613174519,79,-9.8,-139.03,79.03,15.88
76,bilibino,11,RU,1613174154,80,68.05,166.44,-18.04,1.12
77,byron bay,91,AU,1613174275,65,-28.65,153.62,80.6,6.91
78,vaini,75,TO,1613174472,79,-21.2,-175.2,84.2,9.22
79,isangel,75,VU,1613173978,84,-19.55,169.27,84.2,4.29
